SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoProjects;contract;112;96;19;0;0;0;0;0;27;2;2;0;1;18;0;0.0;0.0;0.0;0.0;0.0;0.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;".&quot;);DecoProjectsprojectsContract=DecoProjects(projectsContractAddress);require(projectsContract.checkIfProjectExists(_agreementHash),&quot;Projectmustexist.&quot;);addressprojectClient=projectsContract.getProjectClient(_agreementHash);addressprojectMaker=projectsContract.getProjectMaker(_agreementHash);require(_initiator==projectClient||_initiator==projectMaker,&quot;Initiatorshouldbeeithermakerorclientaddress.&quot;);if(_initiator==projectClient)";contract;13;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;SafeMath;library;59;13;46;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoEscrow;contract;429;320;109;16;22;4;4;29;177;2;2;0;2;9;51;1.375;0.25;0.25;1.8125;11.0625;3.1875
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;IDecoArbitrationTarget;contract;44;28;16;4;4;0;0;11;0;0;0;1;0;0;0;1.0;0.0;0.0;2.75;0.0;0.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoProxyFactory;contract;45;0;0;2;2;0;0;2;8;2;3;0;0;1;4;1.0;0.0;0.0;1.0;4.0;2.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoBaseProjectsMarketplace;contract;40;34;6;3;3;0;0;3;15;1;1;6;1;1;3;1.0;0.0;0.0;1.0;5.0;1.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoRelay;contract;40;19;21;6;6;0;0;6;39;2;2;0;0;6;5;1.0;0.0;0.0;1.0;6.5;0.8333333333333334
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;IDecoArbitration;interface;121;97;24;7;7;0;0;8;0;0;0;0;0;0;0;1.0;0.0;0.0;1.1428571428571428;0.0;0.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoMilestones;contract;362;278;84;9;16;4;4;20;259;2;3;0;2;2;52;1.7777777777777777;0.4444444444444444;0.4444444444444444;2.2222222222222223;28.77777777777778;5.777777777777778
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;Ownable;contract;68;34;34;5;5;0;0;2;12;0;0;7;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoProxy;contract;142;0;0;9;9;0;0;22;73;0;0;0;2;3;12;1.0;0.0;0.0;2.4444444444444446;8.11111111111111;1.3333333333333333
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;CloneFactory;contract;17;7;10;1;2;1;1;1;7;0;0;2;0;0;1;2.0;1.0;1.0;1.0;7.0;1.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;DecoEscrowFactory;contract;51;26;26;2;2;0;0;3;9;2;3;0;1;1;5;1.0;0.0;0.0;1.5;4.5;2.5
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;ECDSA;library;62;42;20;2;5;1;1;3;24;0;0;0;0;0;2;2.5;0.5;0.5;1.5;12.0;1.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;can;contract;446;307;139;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
0000EEe4CBaDa79Cf378e011FBd8b377fEDd04A5_DecoProxy.sol;00;IERC20;interface;28;28;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
