SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;ERC20Interface;contract;11;10;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;ERC721;contract;275;100;145;17;19;2;2;36;51;1;1;1;0;6;30;1.1176470588235294;0.11764705882352941;0.11764705882352941;2.1176470588235294;3.0;1.7647058823529411
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;Admined;contract;26;22;0;3;3;0;0;3;9;1;1;2;0;1;4;1.0;0.0;0.0;1.0;3.0;1.3333333333333333
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;DeveryRegistry;contract;249;209;27;21;23;1;1;38;101;2;2;0;1;11;30;1.0952380952380953;0.047619047619047616;0.047619047619047616;1.8095238095238095;4.809523809523809;1.4285714285714286
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;Address;library;21;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;Owned;contract;25;21;0;3;3;0;0;1;8;0;0;3;0;2;2;1.0;0.0;0.0;0.3333333333333333;2.6666666666666665;0.6666666666666666
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;DeveryERC721Token;contract;61;38;16;4;7;3;3;6;19;2;4;0;1;4;7;1.75;0.75;0.75;1.5;4.75;1.75
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;ERC165;contract;35;14;17;2;2;0;0;2;4;0;0;2;0;2;1;1.0;0.0;0.0;1.0;2.0;0.5
003203f31def0aa63b895b8599c9b81ddce8939b_DeveryERC721Token.sol;00;IERC721Receiver;contract;17;3;14;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
