SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;IGlobalIndex;interface;4;4;0;2;2;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;IBasicAssetToken;interface;9;6;2;4;4;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;CrowdsaleL;library;73;34;22;2;2;0;0;4;2;0;0;0;1;22;0;1.0;0.0;0.0;2.0;1.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;ICRWDController;interface;5;5;3;3;3;0;0;6;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;VaultGeneratorL;library;8;4;3;1;1;0;0;1;0;0;0;0;1;3;0;1.0;0.0;0.0;1.0;0.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;2;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;1;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;RefundEscrow;contract;18;11;4;0;0;0;0;0;0;3;3;0;0;7;0;0.0;0.0;0.0;0.0;0.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;Secondary;contract;40;22;13;2;2;0;0;1;8;0;0;3;0;1;1;1.0;0.0;0.0;0.5;4.0;0.5
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;0;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;EthVaultInterface;interface;25;10;8;6;6;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;AssignTokensOffChainPaymentFeature;contract;43;23;13;3;3;0;0;6;18;0;0;1;0;0;1;1.0;0.0;0.0;2.0;6.0;0.3333333333333333
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;Escrow;contract;36;19;8;3;3;0;0;3;4;1;1;2;0;7;1;1.0;0.0;0.0;1.0;1.3333333333333333;0.3333333333333333
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;AssetTokenCrowdsaleT001;contract;27;13;8;2;2;0;0;3;3;2;3;0;0;0;3;1.0;0.0;0.0;1.5;1.5;1.5
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;BasicAssetTokenCrowdsaleNoFeature;contract;150;81;40;12;12;0;0;1;41;1;1;1;1;6;2;1.0;0.0;0.0;0.08333333333333333;3.4166666666666665;0.16666666666666666
01C97A55289C45610023dd4ccAE7d385f22051bc_AssetTokenCrowdsaleT001.sol;01;ConditionalEscrow;contract;12;6;5;2;2;0;0;2;0;2;2;1;0;3;0;1.0;0.0;0.0;1.0;0.0;0.0
