SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;Factory;contract;40;19;17;2;2;0;0;2;4;0;0;1;0;2;1;1.0;0.0;0.0;1.0;2.0;0.5
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;ACL;contract;45;33;4;5;5;0;0;7;8;1;1;1;0;1;0;1.0;0.0;0.0;1.4;1.6;0.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;6;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;TokenTelemetryI;interface;3;3;0;1;1;0;0;2;0;0;0;1;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;CivilTokenController;contract;73;57;10;3;10;5;2;6;21;3;5;0;1;13;1;3.3333333333333335;1.6666666666666667;0.6666666666666666;2.0;7.0;0.3333333333333333
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;ECRecovery;library;62;36;20;2;5;1;1;3;24;0;0;0;0;0;2;2.5;0.5;0.5;1.5;12.0;1.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;CVLToken;contract;56;45;1;5;5;0;0;10;25;2;5;0;1;1;5;1.0;0.0;0.0;2.0;5.0;1.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;Managed;contract;32;26;0;4;4;0;0;3;19;1;1;2;0;1;1;1.0;0.0;0.0;0.75;4.75;0.25
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;ERC1404;contract;15;4;10;2;2;0;0;4;0;0;0;2;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;ERC20;contract;165;64;80;12;12;0;0;23;34;1;1;1;0;3;19;1.0;0.0;0.0;1.9166666666666667;2.8333333333333335;1.5833333333333333
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;IMultiSigWalletFactory;interface;3;3;0;1;1;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;NewsroomFactory;contract;23;19;2;2;2;0;0;6;7;1;1;0;2;2;6;1.0;0.0;0.0;3.0;3.5;3.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;Newsroom;contract;258;176;35;15;19;3;3;35;58;2;2;0;0;6;21;1.2666666666666666;0.2;0.2;2.3333333333333335;3.8666666666666667;1.4
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;MessagesAndCodes;library;90;69;7;6;9;2;2;13;26;0;0;0;0;15;9;1.5;0.3333333333333333;0.3333333333333333;2.1666666666666665;4.333333333333333;1.5
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;3;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
01fa555c97d7958fa6f771f3bbd5ccd508f81e22_CVLToken.sol;01;ManagedWhitelist;contract;75;46;18;13;13;0;0;13;12;2;2;1;0;6;0;1.0;0.0;0.0;1.0;0.9230769230769231;0.0
