SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;IQBankToken;contract;7;6;4;0;0;0;0;0;0;4;6;0;0;7;0;0.0;0.0;0.0;0.0;0.0;0.0
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;IQTKCrowdsale;contract;119;54;52;8;8;0;0;11;39;3;3;0;1;6;9;1.0;0.0;0.0;1.375;4.875;1.125
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;SafeERC20;library;18;16;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;StandardToken;contract;107;60;39;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;MintableToken;contract;55;38;10;3;3;0;0;3;14;3;5;1;0;2;2;1.0;0.0;0.0;1.0;4.666666666666667;0.6666666666666666
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;Crowdsale;contract;157;62;70;9;9;0;0;12;22;2;2;1;1;5;15;1.0;0.0;0.0;1.3333333333333333;2.4444444444444446;1.6666666666666667
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;5;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;5;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
02A725C0BdC5678539Cd38E74E675FE537736389_IQBankToken.sol;02;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;3;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
