SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;MerkleProof;library;34;18;12;1;4;2;2;3;10;0;0;0;0;0;1;4.0;2.0;2.0;3.0;10.0;1.0
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;DelayedReleaseToken;contract;27;13;8;1;1;0;0;1;5;3;4;1;0;3;3;1.0;0.0;0.0;1.0;5.0;3.0
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;UTXORedeemableToken;contract;188;61;98;9;11;2;2;33;30;3;4;1;0;5;17;1.2222222222222223;0.2222222222222222;0.2222222222222222;3.6666666666666665;3.3333333333333335;1.8888888888888888
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;BurnableToken;contract;20;11;6;1;1;0;0;1;6;3;4;1;0;0;4;1.0;0.0;0.0;1.0;6.0;4.0
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;4;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;5;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;WyvernToken;contract;36;17;11;1;1;0;0;2;7;4;7;0;0;9;0;1.0;0.0;0.0;2.0;7.0;0.0
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
056017c55ae7ae32d12aef7c679df83a85ca75ff_WyvernToken.sol;05;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
