SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;EthTranchePricing;contract;143;75;35;13;18;5;5;13;30;1;2;0;0;4;6;1.3846153846153846;0.38461538461538464;0.38461538461538464;1.0;2.3076923076923075;0.46153846153846156
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;FinalizeAgent;contract;17;7;6;3;3;0;0;0;1;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.3333333333333333;0.0
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;Crowdsale;contract;496;188;221;29;42;11;3;40;103;2;2;0;3;22;57;1.4482758620689655;0.3793103448275862;0.10344827586206896;1.3793103448275863;3.5517241379310347;1.9655172413793103
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;PricingStrategy;contract;37;14;19;4;4;0;0;7;3;0;0;1;0;0;0;1.0;0.0;0.0;1.75;0.75;0.0
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;Haltable;contract;29;21;2;2;2;0;0;0;8;1;1;1;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;FractionalERC20;contract;5;3;0;0;0;0;0;0;0;2;2;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
07a5d8476226bcf28ae17b883786feb17257829a_EthTranchePricing.sol;07;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;2;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
