SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;ERC20Pausable;contract;21;17;0;5;5;0;0;11;5;2;4;2;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;3;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;Streamity;contract;11;10;5;0;0;0;0;0;0;4;7;0;0;11;0;0.0;0.0;0.0;0.0;0.0;0.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;ERC20Burnable;contract;18;8;9;2;2;0;0;3;2;3;5;1;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;5;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;ERC20;contract;173;64;89;13;13;0;0;26;32;1;1;3;0;3;18;1.0;0.0;0.0;2.0;2.4615384615384617;1.3846153846153846
0e22734e078d6e399bcee40a549db591c4ea46cb_Streamity.sol;0e;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;4;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
