SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;2;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;ERC20Mintable;contract;7;6;0;1;1;0;0;2;2;2;3;1;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;Roles;library;24;19;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;ERC20;contract;84;64;0;13;13;0;0;26;32;1;1;4;0;3;18;1.0;0.0;0.0;2.0;2.4615384615384617;1.3846153846153846
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;ERC20Burnable;contract;10;8;0;2;2;0;0;3;2;2;2;1;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;5;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;ETHPlay;contract;26;19;3;3;3;0;0;0;6;3;8;0;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;Pausable;contract;34;27;0;3;3;0;0;0;10;1;1;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;SafeMath;library;42;29;2;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
0ef987c2be871851176e46b098083b8f0fef4c17_ETHPlay.sol;0e;ERC20Pausable;contract;21;17;0;5;5;0;0;11;5;2;4;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
