SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;TokenTimelock;contract;31;18;6;2;2;0;0;3;8;0;0;0;1;3;4;1.0;0.0;0.0;1.5;4.0;2.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;3;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;BearCrowdSale;contract;245;162;43;12;19;6;4;11;67;2;2;0;2;22;19;1.5833333333333333;0.5;0.3333333333333333;0.9166666666666666;5.583333333333333;1.5833333333333333
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;StandardToken;contract;87;36;42;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;BearToken;contract;75;44;22;2;2;0;0;5;15;4;7;0;1;7;3;1.0;0.0;0.0;2.5;7.5;1.5
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;SafeERC20;library;13;11;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
0f9B3Fa06BC5E344491aa97596019FC55E1077A0_BearCrowdSale.sol;0f;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
