SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;Destructible;contract;15;9;3;3;3;0;0;1;2;1;1;0;0;0;2;1.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.6666666666666666
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;MintableMasterToken;contract;37;23;6;3;3;0;0;3;11;4;6;1;0;1;3;1.0;0.0;0.0;1.0;3.6666666666666665;1.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;StandardToken;contract;78;37;30;5;6;1;1;11;20;2;3;4;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;2;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;5;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
1234567461d3f8db7496581774bd869c83d51c93_CAToken.sol;12;CAToken;contract;29;20;4;3;5;2;2;4;6;5;9;0;0;7;3;1.6666666666666667;0.6666666666666666;0.6666666666666666;1.3333333333333333;2.0;1.0
