SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;FreezableToken;contract;167;104;38;10;19;6;6;13;64;3;4;2;0;3;18;1.9;0.6;0.6;1.3;6.4;1.8
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;TemplateCrowdsale;contract;59;32;0;1;4;2;2;0;13;4;9;0;1;1;9;4.0;2.0;2.0;0.0;13.0;9.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;StandardToken;contract;114;63;42;5;6;1;1;11;21;2;3;4;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;Consts;contract;14;11;0;0;0;0;0;0;0;0;0;4;0;11;0;0.0;0.0;0.0;0.0;0.0;0.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;2;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;MainCrowdsale;contract;46;32;5;7;9;1;1;1;12;3;7;1;0;0;11;1.2857142857142858;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.7142857142857142;1.5714285714285714
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;1;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;CappedCrowdsale;contract;38;20;13;2;2;0;0;2;5;1;1;2;0;1;2;1.0;0.0;0.0;1.0;2.5;1.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;MainToken;contract;29;20;0;5;5;0;0;5;7;5;11;0;0;0;4;1.0;0.0;0.0;1.0;1.4;0.8
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;6;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;Crowdsale;contract;180;87;69;9;9;0;0;12;22;0;0;7;1;4;13;1.0;0.0;0.0;1.3333333333333333;2.4444444444444446;1.4444444444444444
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;TimedCrowdsale;contract;54;27;20;2;2;0;0;2;8;1;1;3;0;2;1;1.0;0.0;0.0;1.0;4.0;0.5
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;FreezableMintableToken;contract;24;13;9;1;1;0;0;3;9;4;7;1;0;0;5;1.0;0.0;0.0;3.0;9.0;5.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;MintedCrowdsale;contract;16;10;5;1;1;0;0;2;1;1;1;2;0;0;1;1.0;0.0;0.0;2.0;1.0;1.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;8;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;Ownable;contract;53;27;18;3;3;0;0;2;9;0;0;7;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;FinalizableCrowdsale;contract;30;14;9;2;2;0;0;0;5;2;3;2;0;1;2;1.0;0.0;0.0;0.0;2.5;1.0
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;BonusableCrowdsale;contract;38;24;6;2;4;2;2;2;14;1;2;1;0;0;5;2.0;1.0;1.0;1.0;7.0;2.5
150C8384f6FAB2aD34E940EbE90579f804cD4806_TemplateCrowdsale.sol;15;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
