SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;5;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;4;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;2;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;3;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;ERC20;contract;9;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;4;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;TokenImpl;contract;75;56;5;8;12;4;4;13;25;5;8;0;1;6;20;1.5;0.5;0.5;1.625;3.125;2.5
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;Crowdsale;contract;167;105;27;17;20;3;3;16;50;2;2;0;2;9;35;1.1764705882352942;0.17647058823529413;0.17647058823529413;0.9411764705882353;2.9411764705882355;2.0588235294117645
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;MintableToken;contract;36;21;10;2;2;0;0;2;10;4;7;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
17d67ac402b014af1894c63379976b46930b1337_Crowdsale.sol;17;ERC20Basic;contract;9;6;0;2;2;0;0;3;0;0;0;6;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
