SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;CappedCrowdsale;contract;24;15;4;3;3;0;0;0;5;2;2;2;0;1;3;1.0;0.0;0.0;0.0;1.6666666666666667;1.0
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;BARTokenSale;contract;18;10;1;2;2;0;0;0;1;3;3;1;2;0;1;1.0;0.0;0.0;0.0;0.5;0.5
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;StandardToken;contract;78;37;30;5;6;1;1;11;20;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;Crowdsale;contract;107;57;22;8;8;0;0;3;31;1;1;3;1;6;11;1.0;0.0;0.0;0.375;3.875;1.375
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;BARToken;contract;7;5;0;0;0;0;0;0;0;4;6;0;0;6;0;0.0;0.0;0.0;0.0;0.0;0.0
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;NewTokenSale;contract;85;55;8;9;9;0;0;5;34;4;4;0;1;1;13;1.0;0.0;0.0;0.5555555555555556;3.7777777777777777;1.4444444444444444
1818409ff612a6d574ca979904396bb4b8ea6d51_NewTokenSale.sol;18;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
