SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;IERC223Callback;contract;10;4;3;1;1;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;TokenMetadata;contract;77;47;21;4;4;0;0;0;8;1;1;1;0;4;0;1.0;0.0;0.0;0.0;2.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;IERC677Callback;contract;19;10;7;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;ITokenExchangeRateOracle;contract;14;10;3;2;2;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;Snapshot;contract;165;115;32;5;15;5;5;10;43;1;1;4;0;0;4;3.0;1.0;1.0;2.0;8.6;0.8
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;ShareholderRights;contract;99;54;36;1;1;0;0;0;15;1;1;0;0;14;0;1.0;0.0;0.0;0.0;15.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;StandardSnapshotToken;contract;22;13;8;0;0;0;0;0;0;4;16;1;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;IsContract;contract;17;11;4;1;1;0;0;1;3;0;0;1;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;ISnapshotable;contract;25;10;10;2;2;0;0;0;0;0;0;2;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;IAccessControlled;contract;32;13;13;2;2;0;0;2;0;0;0;6;1;0;0;1.0;0.0;0.0;1.0;0.0;0.0
1a637dac5effb60fb4fd4a808fb24914d56d4046_PlaceholderEquityTokenController.sol;1a;MTokenController;contract;2;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
