SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;TopChainCoin;contract;26;11;11;2;2;0;0;5;2;4;6;0;1;5;2;1.0;0.0;0.0;2.5;1.0;1.0
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;Authorizable;contract;51;24;20;4;4;0;0;3;10;0;0;1;0;2;1;1.0;0.0;0.0;0.75;2.5;0.25
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;DateTime;contract;208;153;18;15;31;10;8;30;88;0;0;0;0;6;21;2.066666666666667;0.6666666666666666;0.5333333333333333;2.0;5.866666666666666;1.4
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79_TopChainCoin.sol;1b;TopChainCoinDistribution;contract;163;125;14;14;20;6;4;11;60;1;2;0;2;20;32;1.4285714285714286;0.42857142857142855;0.2857142857142857;0.7857142857142857;4.285714285714286;2.2857142857142856
