SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;Rev1Storage;contract;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;Address;library;12;11;0;2;2;0;0;2;5;0;0;0;0;0;0;1.0;0.0;0.0;1.0;2.5;0.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;HumanBox;contract;193;146;13;17;19;2;2;9;64;1;1;0;4;23;24;1.1176470588235294;0.11764705882352941;0.11764705882352941;0.5294117647058824;3.764705882352941;1.411764705882353
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;RapidGrowthProtection;library;56;48;1;5;12;5;5;7;22;0;0;0;0;0;5;2.4;1.0;1.0;1.4;4.4;1.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;Math;library;8;8;0;1;2;1;1;2;3;0;0;0;0;0;0;2.0;1.0;1.0;2.0;3.0;0.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;PrivateEntrance;library;41;34;0;3;7;2;2;5;13;0;0;0;2;0;3;2.3333333333333335;0.6666666666666666;0.6666666666666666;1.6666666666666667;4.333333333333333;1.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;InvestorsStorage;contract;51;44;0;6;10;4;4;10;20;1;1;0;0;2;1;1.6666666666666667;0.6666666666666666;0.6666666666666666;1.6666666666666667;3.3333333333333335;0.16666666666666666
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;SafeMath;library;56;29;18;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;Rev2Storage;contract;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;Accessibility;contract;15;13;0;1;1;0;0;0;7;0;0;2;0;1;0;1.0;0.0;0.0;0.0;7.0;0.0
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;Percent;library;56;47;0;9;13;4;4;17;19;0;0;0;1;0;5;1.4444444444444444;0.4444444444444444;0.4444444444444444;1.8888888888888888;2.111111111111111;0.5555555555555556
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;Zero;library;25;20;0;6;6;0;0;6;15;0;0;0;0;0;3;1.0;0.0;0.0;1.0;2.5;0.5
1ecf15991ec2320a4f4f5dc9ca983311dd7e6220_HumanBox.sol;1e;eth;contract;118;89;13;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
