SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;0;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;OwnerContract;contract;69;32;30;3;6;3;3;2;17;3;3;1;1;2;14;2.0;1.0;1.0;0.6666666666666666;5.666666666666667;4.666666666666667
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;IDRCWalletMgrParams;interface;10;9;7;7;7;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;Claimable;contract;28;15;10;2;2;0;0;1;6;1;1;4;0;1;1;1.0;0.0;0.0;0.5;3.0;0.5
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;7;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;DelayedClaimable;contract;30;16;10;2;2;0;0;2;8;2;2;2;0;2;3;1.0;0.0;0.0;1.0;4.0;1.5
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;Withdrawable;contract;62;22;31;3;3;0;0;5;11;1;1;2;1;0;5;1.0;0.0;0.0;1.6666666666666667;3.6666666666666665;1.6666666666666667
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;IDRCWalletStorage;interface;58;21;19;19;19;0;0;32;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6842105263157894;0.0;0.0
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;DRCWalletManager;contract;351;146;159;14;24;6;6;35;98;4;6;0;4;3;56;1.7142857142857142;0.42857142857142855;0.42857142857142855;2.5;7.0;4.0
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;DepositWithdraw;contract;220;104;91;11;14;2;2;27;54;2;4;0;2;5;21;1.2727272727272727;0.18181818181818182;0.18181818181818182;2.4545454545454546;4.909090909090909;1.9090909090909092
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;TokenDestructible;contract;24;13;7;1;2;1;1;1;5;1;1;2;1;0;4;2.0;1.0;1.0;1.0;5.0;4.0
21464bb95b81ab9fdf003f08ac65244b0e07ed0a_DRCWalletManager.sol;21;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
