SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;HYCCrowdsaleICO;contract;14;13;0;1;1;0;0;5;0;2;2;0;0;0;0;1.0;0.0;0.0;5.0;0.0;0.0
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;5;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;Hydrocoin;contract;44;31;5;2;2;0;0;5;12;4;7;0;0;9;4;1.0;0.0;0.0;2.5;6.0;2.0
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;Crowdsale;contract;107;57;24;7;8;1;1;7;29;1;1;1;1;7;13;1.1428571428571428;0.14285714285714285;0.14285714285714285;1.0;4.142857142857143;1.8571428571428572
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
21b09c73b97ac5d1619c9541460a0982bbbf1001_HYCCrowdsaleICO.sol;21;MultipleOwners;contract;29;23;3;2;2;0;0;2;9;1;1;1;0;2;3;1.0;0.0;0.0;1.0;4.5;1.5
