SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;StandardToken;contract;80;56;0;8;10;2;2;16;32;1;1;3;0;2;16;1.25;0.25;0.25;2.0;4.0;2.0
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;CappedToken;contract;14;11;0;2;2;0;0;3;4;3;4;1;0;1;3;1.0;0.0;0.0;1.5;2.0;1.5
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;Token;contract;9;7;1;1;1;0;0;0;0;4;5;0;0;5;0;1.0;0.0;0.0;0.0;0.0;0.0
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;Crowdsale;contract;89;62;4;7;9;1;1;4;34;2;3;0;1;7;27;1.2857142857142858;0.14285714285714285;0.14285714285714285;0.5714285714285714;4.857142857142857;3.857142857142857
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;Pausable;contract;19;15;0;2;2;0;0;0;8;1;1;1;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;MintableToken;contract;26;18;0;2;2;0;0;2;10;2;3;2;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;ERC20;contract;12;10;0;5;5;0;0;10;0;0;0;4;0;1;0;1.0;0.0;0.0;2.0;0.0;0.0
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;SafeMath;library;26;23;0;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;Ownable;contract;17;13;0;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
2444973040210cccaad6010c64763d1abe06d8d0_Crowdsale.sol;24;Manageable;contract;24;16;0;2;2;0;0;2;8;1;1;1;0;1;4;1.0;0.0;0.0;1.0;4.0;2.0
