SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;PricingStrategy;contract;37;14;19;4;4;0;0;7;3;0;0;0;0;0;0;1.0;0.0;0.0;1.75;0.75;0.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;FinalizeAgent;contract;17;7;6;3;3;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.3333333333333333;0.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;SafeMathLibExt;library;27;22;0;4;4;0;0;8;12;0;0;0;0;0;4;1.0;0.0;0.0;2.0;3.0;1.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;FractionalERC20Ext;contract;6;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;3;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;NullFinalizeAgentExt;contract;18;11;2;3;3;0;0;1;2;1;1;0;1;1;0;1.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;Haltable;contract;29;21;2;2;2;0;0;0;11;1;1;1;0;1;0;1.0;0.0;0.0;0.0;5.5;0.0
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;CrowdsaleExt;contract;688;337;226;38;108;31;23;58;212;2;2;0;4;29;66;2.8421052631578947;0.8157894736842105;0.6052631578947368;1.5263157894736843;5.578947368421052;1.736842105263158
255389B9cd5A5863bDdbB8f2B8A8A6047a47dcf5_NullFinalizeAgentExt.sol;25;ReleasableToken;contract;80;40;25;5;5;0;0;8;15;2;3;0;0;3;2;1.0;0.0;0.0;1.6;3.0;0.4
