SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;AssetInterface;contract;10;10;0;6;6;0;0;23;1;0;0;3;0;0;1;1.0;0.0;0.0;3.8333333333333335;0.16666666666666666;0.16666666666666666
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;AssetWithCompliance;contract;42;23;15;1;1;0;0;1;16;3;7;0;1;5;0;1.0;0.0;0.0;1.0;16.0;0.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;Asset;contract;215;98;96;19;26;5;5;61;50;1;3;2;1;2;23;1.368421052631579;0.2631578947368421;0.2631578947368421;3.210526315789474;2.6315789473684212;1.2105263157894737
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;AssetProxy;contract;8;8;2;6;6;0;0;16;0;1;1;0;1;0;0;1.0;0.0;0.0;2.6666666666666665;0.0;0.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;ERC20Interface;contract;15;11;2;7;7;0;0;10;0;0;0;1;0;0;0;1.0;0.0;0.0;1.4285714285714286;0.0;0.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;ReturnData;contract;15;14;0;2;2;0;0;4;2;0;0;3;0;0;0;1.0;0.0;0.0;2.0;1.0;0.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;Ambi2Enabled;contract;19;15;1;1;2;1;1;1;6;0;0;3;1;1;1;2.0;1.0;1.0;1.0;6.0;1.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;Bytes32;contract;7;7;0;1;1;0;0;1;1;0;0;3;0;0;0;1.0;0.0;0.0;1.0;1.0;0.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;Ambi2EnabledFull;contract;14;12;1;1;3;1;1;1;6;1;1;2;1;0;3;3.0;1.0;1.0;1.0;6.0;3.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;Ambi2;contract;5;5;0;3;3;0;0;7;0;0;0;0;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;AssetWithAmbi;contract;7;7;0;0;0;0;0;0;2;2;6;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
2af703b86b8ccf30040d82b088b73842573d3d9c_AssetWithCompliance.sol;2a;ComplianceConfiguration;contract;6;6;0;4;4;0;0;14;0;0;0;0;0;0;0;1.0;0.0;0.0;3.5;0.0;0.0
