SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;Convert;library;58;53;7;6;15;4;4;16;52;0;0;0;0;0;8;2.5;0.6666666666666666;0.6666666666666666;2.6666666666666665;8.666666666666666;1.3333333333333333
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;Percent;library;27;23;1;4;6;2;2;8;9;0;0;0;0;0;2;1.5;0.5;0.5;2.0;2.25;0.5
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;Constants;contract;7;7;0;0;0;0;0;0;0;0;0;1;0;5;0;0.0;0.0;0.0;0.0;0.0;0.0
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;DT;contract;113;92;4;7;19;8;6;8;50;0;0;1;0;4;9;2.7142857142857144;1.1428571428571428;0.8571428571428571;1.1428571428571428;7.142857142857143;1.2857142857142858
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;Zero;library;17;14;0;4;4;0;0;4;12;0;0;0;0;0;3;1.0;0.0;0.0;1.0;3.0;0.75
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;InvestorsStorage;contract;226;200;5;17;38;13;10;27;103;0;0;0;1;3;22;2.235294117647059;0.7647058823529411;0.5882352941176471;1.588235294117647;6.0588235294117645;1.2941176470588236
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;SafeMath;library;36;29;4;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;_200eth;contract;410;333;45;30;68;28;18;16;251;1;2;0;4;21;76;2.2666666666666666;0.9333333333333333;0.6;0.5333333333333333;8.366666666666667;2.533333333333333
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;ToAddress;library;10;9;0;2;2;0;0;2;3;0;0;0;0;0;1;1.0;0.0;0.0;1.0;1.5;0.5
2c787cd0b4b342b5d4606e4fca61a9d85fd6d32f__200eth.sol;2c;E2D;contract;528;290;163;28;37;8;8;15;180;0;0;0;1;21;47;1.3214285714285714;0.2857142857142857;0.2857142857142857;0.5357142857142857;6.428571428571429;1.6785714285714286
