SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;Ownable;contract;35;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;1;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;4;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;BasicToken;contract;30;15;11;2;2;0;0;3;7;1;1;2;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;0;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;RefundVault;contract;45;37;0;5;5;0;0;3;17;1;1;0;0;3;11;1.0;0.0;0.0;0.6;3.4;2.2
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;1;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
300A0A820d8FB6E77850DA5eaa8dF64bBfF5746D_None.sol;30;BoomrCoinCrowdsale;contract;529;301;135;30;44;9;6;12;125;1;1;0;2;37;68;1.4666666666666666;0.3;0.2;0.4;4.166666666666667;2.2666666666666666
