SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;FUTB1;contract;238;186;22;14;27;9;9;17;103;4;7;0;3;28;37;1.9285714285714286;0.6428571428571429;0.6428571428571429;1.2142857142857142;7.357142857142857;2.642857142857143
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;4;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;FUTBTiers;contract;73;66;0;5;6;1;1;6;41;1;1;0;0;4;6;1.2;0.2;0.2;1.2;8.2;1.2
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;1;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;ERC20AsmFn;library;60;37;12;5;5;0;0;11;64;0;0;0;0;0;9;1.0;0.0;0.0;2.2;12.8;1.8
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;3;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
30c6fe3ac0260a855c90cab79aa33e76091d4904_FUTB1.sol;30;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
