SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;ReentrancyGuard;contract;26;12;10;0;0;0;0;0;5;0;0;5;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;PostDeliveryCrowdsale;contract;41;23;12;3;3;0;0;4;7;3;3;1;0;1;3;1.0;0.0;0.0;1.3333333333333333;2.3333333333333335;1.0
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;TimedCrowdsale;contract;76;37;29;5;5;0;0;2;11;2;2;3;0;2;1;1.0;0.0;0.0;0.4;2.2;0.2
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;IncreasingPriceCrowdsale;contract;70;35;26;5;6;1;1;1;15;3;3;1;0;2;8;1.2;0.2;0.2;0.2;3.0;1.6
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;IERC20;interface;28;21;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;Crowdsale;contract;222;102;92;13;13;0;0;12;26;1;1;4;1;4;13;1.0;0.0;0.0;0.9230769230769231;2.0;1.0
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;Ownable;contract;68;33;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;ICO1;contract;71;58;2;5;6;1;1;3;25;4;6;0;1;3;20;1.2;0.2;0.2;0.6;5.0;4.0
30e067173347fa6983ac93935943ca9d64cec109_ICO1.sol;30;SafeERC20;library;61;52;3;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
