SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;IERC20;interface;11;10;0;6;6;0;0;10;0;0;0;3;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;SafeMath;library;35;29;0;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;Pausable;contract;33;27;0;3;3;0;0;0;10;1;2;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;Roles;library;23;19;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;SafeERC20;library;27;21;0;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;TFF_Token;contract;30;26;0;1;1;0;0;0;15;3;6;0;1;6;3;1.0;0.0;0.0;0.0;15.0;3.0
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;ERC20;contract;84;66;0;12;12;0;0;23;36;1;1;2;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;PauserRole;contract;38;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;ERC20Pausable;contract;22;17;0;5;5;0;0;11;5;2;5;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
349c9A0AFbe8C8e08a6bD8A2E925f9EC5aE7d2C9_TFF_Token.sol;34;Ownable;contract;38;30;0;5;5;0;0;2;12;0;0;3;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
