SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;ERC20;contract;173;64;89;13;13;0;0;26;32;1;1;3;0;3;18;1.0;0.0;0.0;2.0;2.4615384615384617;1.3846153846153846
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;SafeERC20;library;29;21;3;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;ERC20Burnable;contract;18;8;9;2;2;0;0;3;2;2;2;1;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;5;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;ECP;contract;11;7;3;0;0;0;0;0;6;3;7;0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0
3724dd6a51965d352f23e0d2ce07323524111eab_ECP.sol;37;ERC20Pausable;contract;21;17;0;5;5;0;0;11;5;2;4;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
