SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;SafeMath;library;22;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;Ownable;contract;25;14;11;2;2;0;0;1;5;0;0;5;0;1;1;1.0;0.0;0.0;0.5;2.5;0.5
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;BurnableToken;contract;18;12;6;1;1;0;0;1;7;3;4;3;0;0;4;1.0;0.0;0.0;1.0;7.0;4.0
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;ReentrancyGuard;contract;20;9;11;0;0;0;0;0;4;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;StandardToken;contract;43;20;23;3;3;0;0;7;11;2;3;4;0;1;6;1.0;0.0;0.0;2.3333333333333335;3.6666666666666665;2.0
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;KuaiMintableToken;contract;54;52;4;4;7;2;2;6;26;5;9;1;0;3;9;1.75;0.5;0.5;1.5;6.5;2.25
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;Claimable;contract;24;14;10;2;2;0;0;1;5;1;1;4;0;1;0;1.0;0.0;0.0;0.5;2.5;0.0
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;BasicToken;contract;23;13;10;2;2;0;0;3;5;1;1;5;0;1;3;1.0;0.0;0.0;1.5;2.5;1.5
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;Operational;contract;14;14;0;2;2;0;0;2;5;2;2;3;0;1;1;1.0;0.0;0.0;1.0;2.5;0.5
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;DateTime;library;168;150;22;12;28;10;8;20;85;0;0;0;0;6;14;2.3333333333333335;0.8333333333333334;0.6666666666666666;1.6666666666666667;7.083333333333333;1.1666666666666667
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;KuaiToken;contract;10;10;0;1;1;0;0;2;0;6;10;0;1;6;0;1.0;0.0;0.0;2.0;0.0;0.0
38b03fe09d0a47bcbe7f80bd0441f9f83821437b_KuaiToken.sol;38;BonusToken;contract;16;16;0;2;3;1;1;3;3;4;8;2;0;3;1;1.5;0.5;0.5;1.5;1.5;0.5
