SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;KlerosLiquid;contract;705;414;297;20;57;24;18;45;348;1;2;0;4;22;35;2.85;1.2;0.9;2.25;17.4;1.75
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;SortitionSumTreeFactory;library;213;119;80;6;21;11;11;22;86;0;0;0;0;0;5;3.5;1.8333333333333333;1.8333333333333333;3.6666666666666665;14.333333333333334;0.8333333333333334
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;RNG;contract;34;14;15;4;5;1;1;4;5;0;0;1;0;0;3;1.25;0.25;0.25;1.0;1.25;0.75
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;BlockHashRNG;contract;50;28;17;4;7;2;2;4;14;1;1;0;0;2;5;1.75;0.5;0.5;1.0;3.5;1.25
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;IArbitrable;interface;37;7;26;1;1;0;0;2;0;0;0;1;1;0;0;1.0;0.0;0.0;2.0;0.0;0.0
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;Arbitrator;contract;77;23;42;7;7;0;0;10;19;0;0;1;1;0;0;1.0;0.0;0.0;1.4285714285714286;2.7142857142857144;0.0
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;MiniMeToken;contract;484;234;187;21;38;13;13;44;112;1;1;1;2;13;46;1.8095238095238095;0.6190476190476191;0.6190476190476191;2.0952380952380953;5.333333333333333;2.1904761904761907
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;ApproveAndCallFallBack;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;Arbitrable;contract;33;14;14;2;2;0;0;4;13;1;1;0;1;2;1;1.0;0.0;0.0;2.0;6.5;0.5
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;Controlled;contract;15;8;4;2;2;0;0;1;4;0;0;2;0;1;0;1.0;0.0;0.0;0.5;2.0;0.0
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;Pinakion;contract;49;28;18;1;2;1;1;2;16;2;2;0;0;0;4;2.0;1.0;1.0;2.0;16.0;4.0
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;MiniMeTokenFactory;contract;34;22;10;1;1;0;0;6;3;0;0;0;1;0;2;1.0;0.0;0.0;6.0;3.0;2.0
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;".&quot;);if(dispute.votes[dispute.votes.length-1].length>=courts[dispute.subcourtID].jurorsForCourtJump)dispute.subcourtID=courts[dispute.subcourtID].parent;dispute.period=Period.evidence;dispute.lastPeriodChange=now;dispute.votes[dispute.votes.length++].length=msg.value/courts[dispute.subcourtID].feeForJuror;dispute.voteCounters[dispute.voteCounters.length++].tied=true;dispute.tokensAtStakePerJuror.push((courts[dispute.subcourtID].minStake*courts[dispute.subcourtID].alpha)/ALPHA_DIVISOR);dispute.totalFeesForJurors.push(msg.value);dispute.drawsInRound=0;dispute.commitsInRound=0;dispute.votesInEachRound.push(0);dispute.repartitionsInEachRound.push(0);dispute.penaltiesInEachRound.push(0);disputesWithoutJurors++;emitAppealDecision(_disputeID,Arbitrable(msg.sender));}functionproxyPayment(address_owner)publicpayablereturns(boolallowed)";contract;26;19;6;0;0;0;0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
395df49c20e34a7ea995cbf546e54f66172992ea_MiniMeToken.sol;39;TokenController;contract;23;6;15;3;3;0;0;7;0;0;0;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
