SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;TrustaBitToken;contract;63;42;4;6;7;1;1;11;18;4;7;0;0;6;10;1.1666666666666667;0.16666666666666666;0.16666666666666666;1.8333333333333333;3.0;1.6666666666666667
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;MilestoneCrowdsale;contract;128;72;33;9;11;2;2;6;30;0;0;1;0;13;9;1.2222222222222223;0.2222222222222222;0.2222222222222222;0.6666666666666666;3.3333333333333335;1.0
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;Receiver;contract;3;3;0;1;1;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;TrustaBitCrowdsale;contract;210;143;18;18;30;6;6;19;83;1;2;0;2;13;59;1.6666666666666667;0.3333333333333333;0.3333333333333333;1.0555555555555556;4.611111111111111;3.2777777777777777
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;RefundVault;contract;45;37;0;5;5;0;0;3;17;1;1;0;0;3;11;1.0;0.0;0.0;0.6;3.4;2.2
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;FallbackToken;contract;9;8;0;1;1;0;0;1;4;0;0;1;0;0;0;1.0;0.0;0.0;1.0;4.0;0.0
39db2ab26f405916f0020ca12baa95e56fadf599_TrustaBitCrowdsale.sol;39;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
