SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;HasNoEther;contract;26;10;13;3;3;0;0;0;2;1;1;2;0;0;2;1.0;0.0;0.0;0.0;0.6666666666666666;0.6666666666666666
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;Destructible;contract;15;9;3;3;3;0;0;1;2;1;1;1;0;0;2;1.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.6666666666666666
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;AALMCrowdsale;contract;262;158;87;19;26;7;7;38;81;2;3;0;2;17;51;1.368421052631579;0.3684210526315789;0.3684210526315789;2.0;4.2631578947368425;2.6842105263157894
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;TokenVesting;contract;101;53;27;5;7;2;1;9;28;1;1;0;1;7;20;1.4;0.4;0.2;1.8;5.6;4.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;NoOwner;contract;2;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;HasNoContracts;contract;11;6;4;1;1;0;0;1;2;1;1;2;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;HasNoTokens;contract;16;8;6;1;1;0;0;3;4;2;2;2;0;0;1;1.0;0.0;0.0;3.0;4.0;1.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;AALMToken;contract;26;19;5;3;3;0;0;6;5;4;11;0;0;6;2;1.0;0.0;0.0;2.0;1.6666666666666667;0.6666666666666666
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;SafeERC20;library;13;11;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;CanReclaimToken;contract;13;7;4;1;1;0;0;1;2;1;1;4;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
3b03bfac807ef159d64a09420ed67848e2160232_AALMCrowdsale.sol;3b;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;10;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
