SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;Ownable;contract;20;16;0;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;MintableToken;contract;12;11;0;1;1;0;0;2;6;3;5;1;0;0;5;1.0;0.0;0.0;2.0;6.0;5.0
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;StandardToken;contract;48;39;0;5;6;1;1;11;22;2;3;2;0;2;11;1.2;0.2;0.2;2.2;4.4;2.2
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;BasicToken;contract;21;15;1;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;FinalizableCrowdsale;contract;16;11;0;1;1;0;0;0;4;1;2;1;0;1;2;1.0;0.0;0.0;0.0;4.0;2.0
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;OMXToken;contract;10;7;0;1;1;0;0;0;0;4;6;0;0;5;0;1.0;0.0;0.0;0.0;0.0;0.0
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;OMXCrowdsale;contract;30;25;1;3;3;0;0;2;8;2;3;0;2;7;4;1.0;0.0;0.0;0.6666666666666666;2.6666666666666665;1.3333333333333333
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;Crowdsale;contract;115;73;13;8;11;3;3;7;39;0;0;2;1;11;14;1.375;0.375;0.375;0.875;4.875;1.75
3b26ba2b0ffd0bcb6fab0bbf185d7b0b78844c86_OMXCrowdsale.sol;3b;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
