SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;Ownable;contract;70;33;27;5;5;0;0;2;11;0;0;3;0;1;3;1.0;0.0;0.0;0.4;2.2;0.6
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;Crowdsale;contract;215;100;87;13;13;0;0;12;26;0;0;4;1;4;13;1.0;0.0;0.0;0.9230769230769231;2.0;1.0
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;ERC20;contract;193;98;74;11;11;0;0;20;41;1;1;0;0;3;21;1.0;0.0;0.0;1.8181818181818181;3.727272727272727;1.9090909090909092
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;SafeERC20;library;32;30;0;3;3;0;0;10;3;0;0;0;1;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;IERC20;interface;28;21;0;6;6;0;0;10;0;0;0;1;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;TimedCrowdsale;contract;87;44;31;7;7;0;0;3;15;1;2;2;0;2;1;1.0;0.0;0.0;0.42857142857142855;2.142857142857143;0.14285714285714285
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;C2CUPreIcoCrowdsale;contract;80;48;25;3;3;0;0;5;7;3;5;0;0;3;7;1.0;0.0;0.0;1.6666666666666667;2.3333333333333335;2.3333333333333335
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;BonusableCrowdsale;contract;41;21;15;3;4;1;1;1;7;2;3;1;0;1;0;1.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;0.0
3b755c2e4f6f59b0530b4698b6f4e1001c468dbb_C2CUPreIcoCrowdsale.sol;3b;CappedCrowdsale;contract;45;23;16;3;3;0;0;2;6;1;1;1;0;1;3;1.0;0.0;0.0;0.6666666666666666;2.0;1.0
