SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;DepositableStorage;contract;14;10;1;2;2;0;0;1;2;0;0;2;0;1;2;1.0;0.0;0.0;0.5;1.0;1.0
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;Uint256Helpers;library;10;8;0;1;1;0;0;1;2;0;0;0;0;3;2;1.0;0.0;0.0;1.0;2.0;2.0
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;ACLSyntaxSugar;contract;78;63;0;16;16;0;0;41;30;0;0;3;0;0;15;1.0;0.0;0.0;2.5625;1.875;0.9375
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;AragonApp;contract;52;30;17;2;4;1;1;3;14;4;13;2;1;2;6;2.0;0.5;0.5;1.5;7.0;3.0
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;EVMScriptRegistryConstants;contract;6;4;2;0;0;0;0;0;0;0;0;4;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;SignatureValidator;library;148;113;19;7;19;7;5;17;73;0;0;0;0;4;13;2.7142857142857144;1.0;0.7142857142857143;2.4285714285714284;10.428571428571429;1.8571428571428572
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;ERC20;contract;28;21;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;IForwarder;interface;11;5;4;3;3;0;0;3;0;0;0;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;Autopetrified;contract;7;5;2;0;0;0;0;0;1;3;3;3;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
3d27b837602971f5bfe4bb7c907982378daab333_Agent.sol;3d;Initializable;contract;49;27;14;4;4;0;0;1;9;1;1;6;0;5;5;1.0;0.0;0.0;0.25;2.25;1.25
