SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;2;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;CappedCrowdsale;contract;25;16;4;3;3;0;0;1;6;1;1;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;2.0;1.3333333333333333
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;BlockchainAirCrowdsale;contract;39;29;0;5;5;0;0;10;13;2;3;0;2;1;10;1.0;0.0;0.0;2.0;2.6;2.0
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;BlockchainAirToken;contract;5;5;0;0;0;0;0;0;0;4;6;0;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
3de5e73e975e0b99ca920f422f31f234150f31c6_BlockchainAirCrowdsale.sol;3d;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
