SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;ReentrancyGuard;contract;26;12;10;0;0;0;0;0;5;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;&quot;contract;96;76;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;ERC20;contract;199;97;80;12;12;0;0;23;38;1;1;2;0;3;21;1.0;0.0;0.0;1.9166666666666667;3.1666666666666665;1.75
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;Roles;library;38;23;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;&quot;contract;53;38;6;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;forcrowdsale;contract;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;forcrowdsale;contract;76;53;10;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;SignkeysBonusProgramRewards;contract;21;11;4;1;1;0;0;1;10;1;1;0;1;4;1;1.0;0.0;0.0;1.0;10.0;1.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;SignkeysCrowdsale;contract;56;30;12;0;0;0;0;0;4;1;2;0;2;7;0;0.0;0.0;0.0;0.0;0.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;&quot;contract;28;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;Ownable;contract;68;33;27;5;5;0;0;2;12;0;0;4;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;ERC20Pausable;contract;58;53;0;5;5;0;0;11;5;2;4;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;SignkeysBonusProgram;contract;99;70;14;5;13;4;4;11;28;1;1;0;3;8;11;2.6;0.8;0.8;2.2;5.6;2.2
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;SignkeysToken;contract;26;13;6;1;1;0;0;1;2;3;7;0;0;10;0;1.0;0.0;0.0;1.0;2.0;0.0
3f48b298b478408e51e3111f021f38ba8d59fa9c_SignkeysCrowdsale.sol;3f;IERC20;interface;28;21;0;6;6;0;0;10;0;0;0;4;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
