SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;FUTBTiers;contract;73;66;0;5;6;1;1;6;41;1;1;0;0;4;6;1.2;0.2;0.2;1.2;8.2;1.2
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;4;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;1;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;FUTB;contract;219;178;13;13;26;9;9;15;98;4;7;0;2;28;36;2.0;0.6923076923076923;0.6923076923076923;1.1538461538461537;7.538461538461538;2.769230769230769
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;3;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
42d8f8e19f73707397b6e9eb7dd022d3c0ae736c_FUTB.sol;42;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
