SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;TRM2TokenCoin;contract;9;5;0;0;0;0;0;0;0;4;6;0;0;5;0;0.0;0.0;0.0;0.0;0.0;0.0
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;AbstractTRMBalances;contract;3;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;BasicToken;contract;28;13;10;2;2;0;0;3;5;1;1;3;0;1;3;1.0;0.0;0.0;1.5;2.5;1.5
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;Ownable;contract;30;14;11;2;2;0;0;1;5;0;0;3;0;1;1;1.0;0.0;0.0;0.5;2.5;0.5
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;MintableToken;contract;38;20;11;2;2;0;0;2;9;3;5;1;0;1;4;1.0;0.0;0.0;1.0;4.5;2.0
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;SafeMath;library;27;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;StandardToken;contract;52;20;23;3;3;0;0;7;11;2;3;2;0;1;6;1.0;0.0;0.0;2.3333333333333335;3.6666666666666665;2.0
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;Crowdsale;contract;206;130;26;7;24;7;4;4;84;1;2;0;2;16;22;3.4285714285714284;1.0;0.5714285714285714;0.5714285714285714;12.0;3.142857142857143
42ebb2fd690bbfd4a8d818830b7e884b9b62f249_Crowdsale.sol;42;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
