SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;4;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;2;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;3;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;4;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;TokenImpl;contract;77;58;5;8;12;4;4;13;26;5;8;0;1;7;20;1.5;0.5;0.5;1.625;3.25;2.5
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;Crowdsale;contract;169;111;26;16;20;4;4;17;53;2;2;0;2;10;37;1.25;0.25;0.25;1.0625;3.3125;2.3125
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;SaleProjectsMaker;contract;15;11;0;1;1;0;0;4;3;1;1;0;1;1;3;1.0;0.0;0.0;4.0;3.0;3.0
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;MintableToken;contract;36;21;10;2;2;0;0;2;10;4;7;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
47d5da71ee29d1009a119ad9fde31c616ca8610b_SaleProjectsMaker.sol;47;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;6;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
