SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;&quot;contract;54;34;16;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;Ownable;contract;53;27;18;3;3;0;0;2;9;0;0;2;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;ERC20DividendCheckpointFactory;contract;16;6;8;0;0;0;0;0;3;2;3;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;IBoot;interface;8;3;4;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;VersionUtils;library;128;91;28;5;28;12;9;10;67;0;0;0;0;0;4;5.6;2.4;1.8;2.0;13.4;0.8
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;Util;library;77;45;24;5;12;6;6;6;26;0;0;0;0;0;9;2.4;1.2;1.2;1.2;5.2;1.8
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;ERC20DividendCheckpointProxy;contract;20;12;6;0;0;0;0;0;9;2;6;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;ERC20DividendCheckpointStorage;contract;6;3;1;0;0;0;0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;DividendCheckpointStorage;contract;37;26;16;0;0;0;0;0;0;0;0;1;0;11;0;0.0;0.0;0.0;0.0;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;Proxy;contract;46;19;20;4;4;0;0;1;3;0;0;2;0;0;2;1.0;0.0;0.0;0.25;0.75;0.5
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;ModuleFactory;contract;145;71;56;12;13;1;1;9;79;1;2;1;1;9;10;1.0833333333333333;0.08333333333333333;0.08333333333333333;0.75;6.583333333333333;0.8333333333333334
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;IModuleFactory;interface;81;26;41;12;12;0;0;6;0;0;0;2;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;IERC20;interface;13;13;0;9;9;0;0;14;0;0;0;0;0;0;0;1.0;0.0;0.0;1.5555555555555556;0.0;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;OwnedProxy;contract;83;36;35;6;6;0;0;2;23;1;1;1;0;2;5;1.0;0.0;0.0;0.3333333333333333;3.8333333333333335;0.8333333333333334
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;Pausable;contract;42;21;14;2;2;0;0;0;17;0;0;1;0;1;0;1.0;0.0;0.0;0.0;8.5;0.0
47ef0c3be63da5d39de03d3318ea17e705971bbb_ERC20DividendCheckpointFactory.sol;47;ModuleStorage;contract;22;11;5;0;0;0;0;0;3;0;0;1;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0
