SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20Burnable;contract;18;8;9;2;2;0;0;3;2;2;2;0;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20Whitelist;contract;76;39;31;5;10;5;5;6;20;2;3;0;1;2;8;2.0;1.0;1.0;1.2;4.0;1.6
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;6;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;IERC20Snapshot;contract;16;4;11;2;2;0;0;3;0;0;0;1;0;0;0;1.0;0.0;0.0;1.5;0.0;0.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;7;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;Manageable;contract;29;15;11;1;1;0;0;2;8;1;2;2;0;1;0;1.0;0.0;0.0;2.0;8.0;0.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;Utils;contract;7;6;1;0;0;0;0;0;6;0;0;3;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;GlobalWhitelist;contract;61;34;22;5;8;3;3;4;12;2;3;0;0;2;2;1.6;0.6;0.6;0.8;2.4;0.4
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;8;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20Snapshot;contract;124;54;57;7;13;3;3;14;25;2;3;0;0;2;15;1.8571428571428572;0.42857142857142855;0.42857142857142855;2.0;3.5714285714285716;2.142857142857143
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;SampleToken;contract;18;7;11;0;0;0;0;0;1;2;4;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20Pausable;contract;21;17;0;5;5;0;0;11;5;2;4;0;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20DocumentRegistry;contract;64;34;18;4;4;0;0;2;21;1;1;0;0;1;4;1.0;0.0;0.0;0.5;5.25;1.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;SampleTokenFactory;contract;33;16;11;1;1;0;0;5;19;2;3;0;1;1;3;1.0;0.0;0.0;5.0;19.0;3.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;2;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;1;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
4820a69ee3d8f1de3fe96b22adab1d9583a6c223_SampleTokenFactory.sol;48;ERC20ForcedTransfer;contract;16;8;7;1;1;0;0;2;3;2;3;0;0;0;2;1.0;0.0;0.0;2.0;3.0;2.0
