SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;3;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;7;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;ERC20Basic;contract;7;6;0;3;3;0;0;3;0;0;0;9;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;StandardToken;contract;89;37;39;5;6;1;1;11;21;2;3;6;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;CappedToken;contract;21;11;6;1;1;0;0;2;4;4;6;1;0;1;2;1.0;0.0;0.0;2.0;4.0;2.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;ERC20;contract;7;6;0;3;3;0;0;7;0;1;1;7;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;PausableToken;contract;30;22;0;5;5;0;0;11;5;3;6;2;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;CryptoControlToken;contract;58;41;8;6;11;5;5;12;24;5;10;0;0;15;15;1.8333333333333333;0.8333333333333334;0.8333333333333334;2.0;4.0;2.5
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;MintableToken;contract;45;26;10;2;2;0;0;2;12;3;5;2;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;BurnableToken;contract;20;10;7;1;1;0;0;2;5;3;5;1;0;0;3;1.0;0.0;0.0;2.0;5.0;3.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;BasicToken;contract;38;19;13;3;3;0;0;3;8;1;1;7;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
4a9e09f6d1f643ee5f3b02039843d774a224577a_CryptoControlToken.sol;4a;UpgradedStandardToken;contract;7;5;2;3;3;0;0;10;0;4;7;0;0;0;0;1.0;0.0;0.0;3.3333333333333335;0.0;0.0
