SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;2;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;FallbackToken;contract;9;8;0;1;1;0;0;1;4;0;0;1;0;0;0;1.0;0.0;0.0;1.0;4.0;0.0
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;Receiver;contract;3;3;0;1;1;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
4ddaf983302f451a5a6dc95af102335bf280d9a7_TrustaBitToken.sol;4d;TrustaBitToken;contract;63;42;4;6;7;1;1;11;18;4;7;0;0;6;10;1.1666666666666667;0.16666666666666666;0.16666666666666666;1.8333333333333333;3.0;1.6666666666666667
