SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;FallbackToken;contract;9;8;0;1;1;0;0;1;4;0;0;1;0;0;0;1.0;0.0;0.0;1.0;4.0;0.0
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;Receiver;contract;3;3;0;1;1;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;TrustaBitToken;contract;77;47;11;7;8;1;1;11;20;4;7;0;0;6;11;1.1428571428571428;0.14285714285714285;0.14285714285714285;1.5714285714285714;2.857142857142857;1.5714285714285714
52a31d995ae29a5d34bc573b3458971050637f39_TrustaBitToken.sol;52;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;2;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
