SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;4;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;SafeMath;library;41;22;15;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;StandardTokenExt;contract;7;5;1;1;1;0;0;0;1;3;6;0;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;StandardToken;contract;115;64;42;5;6;1;1;11;22;2;3;1;0;1;7;1.2;0.2;0.2;2.2;4.4;1.4
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;Recoverable;contract;19;10;6;2;2;0;0;2;2;1;1;1;1;0;2;1.0;0.0;0.0;1.0;1.0;1.0
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;Ownable;contract;45;24;14;2;2;0;0;1;8;0;0;2;0;1;2;1.0;0.0;0.0;0.5;4.0;1.0
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;Vault;contract;56;28;15;3;3;0;0;0;11;0;0;0;1;4;4;1.0;0.0;0.0;0.0;3.6666666666666665;1.3333333333333333
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;2;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
5450ca85331f3d5e8dc01d7fe0a210dcd6a773dd_Vault.sol;54;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
