SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;NonCompliantEIP20;interface;5;5;0;3;3;0;0;7;0;0;0;0;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;BZxTo0xShared;contract;93;54;33;2;3;1;1;6;16;0;0;1;0;0;4;1.5;0.5;0.5;3.0;8.0;2.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;EIP20Wrapper;contract;81;69;15;3;3;0;0;10;18;0;0;1;0;0;6;1.0;0.0;0.0;3.3333333333333335;6.0;2.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;BZxTo0xV2;contract;255;202;27;10;21;4;4;21;69;2;4;0;1;4;16;2.1;0.4;0.4;2.1;6.9;1.6
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;Ownable;contract;42;22;15;2;2;0;0;2;7;0;0;2;0;1;2;1.0;0.0;0.0;1.0;3.5;1.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;ExchangeV2Interface;contract;64;41;33;3;3;0;0;9;0;0;0;0;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;SafeMath;library;56;28;21;5;7;2;2;10;14;0;0;0;0;0;3;1.4;0.4;0.4;2.0;2.8;0.6
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;EIP20;contract;5;5;0;0;0;0;0;0;0;2;2;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;2;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
56bf70558d3b607e38bc12ae64e69037ce91259b_BZxTo0xV2.sol;56;BZxOwnable;contract;33;18;10;2;2;0;0;2;21;1;1;1;0;1;2;1.0;0.0;0.0;1.0;10.5;1.0
