SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;BullTokenRefundVault;contract;19;13;3;3;3;0;0;1;6;2;2;0;0;0;7;1.0;0.0;0.0;0.3333333333333333;2.0;2.3333333333333335
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;Curatable;contract;37;17;11;2;2;0;0;1;7;1;1;1;0;1;2;1.0;0.0;0.0;0.5;3.5;1.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;Whitelist;contract;25;16;0;4;4;0;0;3;5;2;2;0;0;1;2;1.0;0.0;0.0;0.75;1.25;0.5
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;FinalizableCrowdsale;contract;29;14;9;2;2;0;0;0;5;1;2;2;0;1;3;1.0;0.0;0.0;0.0;2.5;1.5
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;BurnableCrowdsale;contract;81;41;24;7;7;0;0;6;16;0;0;4;1;7;4;1.0;0.0;0.0;0.8571428571428571;2.2857142857142856;0.5714285714285714
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;6;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;4;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;BullToken;contract;66;40;13;5;7;2;2;5;17;4;8;0;1;9;9;1.4;0.4;0.4;1.0;3.4;1.8
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;RefundVault;contract;45;37;0;5;5;0;0;3;17;1;1;1;0;3;11;1.0;0.0;0.0;0.6;3.4;2.2
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;10;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;BurnableToken;contract;20;11;6;1;1;0;0;1;6;3;4;1;0;0;4;1.0;0.0;0.0;1.0;6.0;4.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;CappedCrowdsale;contract;25;16;4;3;3;0;0;1;6;1;1;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;2.0;1.3333333333333333
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;BullTokenCrowdsale;contract;103;73;11;9;12;2;2;11;30;3;5;0;2;2;23;1.3333333333333333;0.2222222222222222;0.2222222222222222;1.2222222222222223;3.3333333333333335;2.5555555555555554
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;3;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
58fcf11196abaeefdf23198ec4ec9c5237963e17_BullTokenCrowdsale.sol;58;RefundableCrowdsale;contract;46;29;7;5;6;1;1;1;12;2;3;1;1;2;10;1.2;0.2;0.2;0.2;2.4;2.0
