SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC20Ownable;contract;17;15;0;2;3;1;1;1;5;0;0;2;0;1;1;1.5;0.5;0.5;0.5;2.5;0.5
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC20;contract;5;5;0;2;2;0;0;3;0;0;0;2;0;0;0;1.0;0.0;0.0;1.5;0.0;0.0
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC223;contract;11;9;0;4;4;0;0;10;0;0;0;2;0;1;0;1.0;0.0;0.0;2.5;0.0;0.0
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ContractReceiver;contract;26;16;7;1;1;0;0;3;6;0;0;0;0;0;2;1.0;0.0;0.0;3.0;6.0;2.0
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC223Token;contract;86;67;3;7;13;6;6;17;37;1;2;1;1;6;23;1.8571428571428572;0.8571428571428571;0.8571428571428571;2.4285714285714284;5.285714285714286;3.2857142857142856
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC20Token;contract;65;48;6;6;6;0;0;13;46;1;2;1;0;2;4;1.0;0.0;0.0;2.1666666666666665;7.666666666666667;0.6666666666666666
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;Ownable;contract;17;15;0;2;3;1;1;1;5;0;0;1;0;1;1;1.5;0.5;0.5;0.5;2.5;0.5
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC20StandardToken;contract;34;30;0;3;3;0;0;8;17;2;3;0;0;5;3;1.0;0.0;0.0;2.6666666666666665;5.666666666666667;1.0
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;TokenMaker;contract;120;92;3;12;19;5;5;15;49;1;1;0;4;7;18;1.5833333333333333;0.4166666666666667;0.4166666666666667;1.25;4.083333333333333;1.5
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;SafeMath;contract;20;17;0;3;7;3;3;6;11;0;0;2;0;1;3;2.3333333333333335;1.0;1.0;2.0;3.6666666666666665;1.0
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC223Ownable;contract;17;15;0;2;3;1;1;1;5;0;0;1;0;1;1;1.5;0.5;0.5;0.5;2.5;0.5
59e0520c300657a8218e6c21a2a48682f9942b66_TokenMaker.sol;59;ERC223StandardToken;contract;31;27;0;3;3;0;0;8;20;2;4;0;0;0;3;1.0;0.0;0.0;2.6666666666666665;6.666666666666667;1.0
