SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;StandardBurnableToken;contract;15;7;7;1;1;0;0;2;3;3;5;1;0;0;3;1.0;0.0;0.0;2.0;3.0;3.0
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;StandardToken;contract;114;63;42;5;6;1;1;11;21;2;3;5;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;RBACMintableTokenMixin;contract;43;29;10;2;2;0;0;2;10;3;5;1;0;1;2;1.0;0.0;0.0;1.0;5.0;1.0
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;ViariumToken;contract;42;26;16;3;3;0;0;2;8;5;10;0;0;6;4;1.0;0.0;0.0;0.6666666666666666;2.6666666666666665;1.3333333333333333
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;ERC223Mixin;contract;110;98;5;8;11;3;3;24;29;3;4;2;0;0;18;1.375;0.375;0.375;3.0;3.625;2.25
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;ERC223ReceiverMixin;contract;3;3;0;1;1;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;6;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;2;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;RBACMixin;contract;114;58;43;8;10;2;2;10;23;0;0;3;0;7;6;1.25;0.25;0.25;1.25;2.875;0.75
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;9;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;RBACERC223TokenFinalization;contract;62;38;15;8;8;0;0;18;14;4;6;1;0;1;7;1.0;0.0;0.0;2.25;1.75;0.875
5b6c4eb6e7f90b2ce53176c779c072d95f2535c2_ViariumToken.sol;5b;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;7;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
