SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;can;contract;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;Proxy;contract;100;90;10;4;5;1;1;8;16;1;1;0;1;2;1;1.25;0.25;0.25;2.0;4.0;0.25
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;&quot;contract;76;53;23;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;ReentrancyPreventer;contract;11;5;5;0;0;0;0;0;8;0;0;4;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;TokenFallbackCaller;contract;35;33;2;1;2;1;1;4;17;1;1;3;0;0;1;2.0;1.0;1.0;4.0;17.0;1.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;owner;contract;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;ExternStateToken;contract;88;65;23;4;4;0;0;8;21;2;5;2;2;5;4;1.0;0.0;0.0;2.0;5.25;1.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;State;contract;30;23;7;1;1;0;0;1;9;1;1;2;0;1;0;1.0;0.0;0.0;1.0;9.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;ExchangeRates;contract;308;196;111;12;20;6;6;16;155;2;2;0;0;6;9;1.6666666666666667;0.5;0.5;1.3333333333333333;12.916666666666666;0.75
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;FeePool;contract;544;179;57;20;34;11;9;23;243;2;3;0;4;20;43;1.7;0.55;0.45;1.15;12.15;2.15
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;Owned;contract;42;25;16;2;2;0;0;1;25;0;0;12;1;2;1;1.0;0.0;0.0;0.5;12.5;0.5
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;Proxyable;contract;56;31;25;2;2;0;0;2;25;1;1;4;2;2;1;1.0;0.0;0.0;1.0;12.5;0.5
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;LimitedSetup;contract;20;14;6;0;0;0;0;0;8;0;0;2;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;SynthetixEscrow;contract;210;125;85;13;16;3;3;18;42;1;2;0;1;7;14;1.2307692307692308;0.23076923076923078;0.23076923076923078;1.3846153846153846;3.230769230769231;1.0769230769230769
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;Synthetix;contract;769;478;290;29;45;13;13;58;251;3;6;0;8;23;86;1.5517241379310345;0.4482758620689655;0.4482758620689655;2.0;8.655172413793103;2.9655172413793105
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;Synth;contract;314;0;0;19;20;1;1;44;112;3;6;0;4;22;51;1.0526315789473684;0.05263157894736842;0.05263157894736842;2.3157894736842106;5.894736842105263;2.6842105263157894
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;SelfDestructible;contract;82;73;9;4;4;0;0;1;37;1;1;5;0;4;2;1.0;0.0;0.0;0.25;9.25;0.5
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;&quot;contract;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;TokenState;contract;46;40;6;2;2;0;0;5;2;2;2;0;0;2;0;1.0;0.0;0.0;2.5;1.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;SafeMath;library;59;40;20;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;SafeDecimalMath;library;223;121;102;12;15;3;3;20;21;0;0;0;0;5;11;1.25;0.25;0.25;1.6666666666666667;1.75;0.9166666666666666
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;SynthetixState;contract;252;177;75;12;16;2;2;12;51;2;3;0;1;7;12;1.3333333333333333;0.16666666666666666;0.16666666666666666;1.0;4.25;1.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;to;contract;74;56;18;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
60C34eB93AFCd1B701fF8C036B128441C68A8A70_Synth.sol;60;can;contract;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
