SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;4;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;Ownable;contract;41;35;0;3;4;1;1;2;15;0;0;4;0;2;2;1.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;5.0;0.6666666666666666
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;PauserRole;contract;43;33;0;6;6;0;0;5;11;1;1;3;1;1;6;1.0;0.0;0.0;0.8333333333333334;1.8333333333333333;1.0
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;2;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;BET;contract;26;19;0;0;0;0;0;0;2;4;7;0;0;8;0;0.0;0.0;0.0;0.0;0.0;0.0
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;ERC20Pausable;contract;27;8;16;2;2;0;0;5;2;3;5;1;0;0;2;1.0;0.0;0.0;2.5;1.0;1.0
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;Pausable;contract;49;27;15;3;3;0;0;0;10;2;2;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
6336c76713a7d2fbcc1ed2e747ae9da0f83a9e21_BET.sol;63;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
