SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;SignatureDecoder;contract;47;29;16;2;2;0;0;5;6;0;0;1;0;0;2;1.0;0.0;0.0;2.5;3.0;1.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;BokkyPooBahsDateTimeLibrary;library;309;264;31;39;49;10;9;74;158;0;0;0;0;11;53;1.2564102564102564;0.2564102564102564;0.23076923076923078;1.8974358974358974;4.051282051282051;1.358974358974359
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;SubscriptionModule;contract;148;102;26;2;2;0;0;10;21;3;4;0;2;35;3;1.0;0.0;0.0;5.0;10.5;1.5
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;SelfAuthorized;contract;3;3;0;0;0;0;0;0;7;0;0;5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;EtherPaymentFallback;contract;10;7;1;1;1;0;0;0;0;0;0;2;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;Enum;contract;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;GEnum;contract;17;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;OwnerManager;contract;159;106;41;8;12;4;4;12;123;1;1;0;0;4;8;1.5;0.5;0.5;1.5;15.375;1.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;OracleRegistry;interface;21;17;0;4;4;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;&quot;contract;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;MasterCopy;contract;16;10;5;1;1;0;0;1;8;1;1;2;0;1;1;1.0;0.0;0.0;1.0;8.0;1.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;Module;contract;18;13;2;1;1;0;0;0;13;2;2;1;1;1;2;1.0;0.0;0.0;0.0;13.0;2.0
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;DSMath;library;76;53;15;14;16;2;2;30;19;0;0;0;0;2;11;1.1428571428571428;0.14285714285714285;0.14285714285714285;2.142857142857143;1.3571428571428572;0.7857142857142857
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;ModuleManager;contract;93;62;22;5;8;2;2;9;59;2;3;0;2;2;7;1.6;0.4;0.4;1.8;11.8;1.4
6505de89242b801880f911613f0541d89b4922fa_SubscriptionModule.sol;65;Executor;contract;49;41;3;4;6;2;1;13;10;1;1;1;1;0;4;1.5;0.5;0.25;3.25;2.5;1.0
