SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;StandardTokenData;contract;8;5;3;0;0;0;0;0;0;0;0;2;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;GnosisStandardToken;contract;70;38;25;6;8;2;2;10;19;1;2;1;0;0;5;1.3333333333333333;0.3333333333333333;0.3333333333333333;1.6666666666666667;3.1666666666666665;0.8333333333333334
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;Coordinator;contract;39;31;2;3;3;0;0;0;39;0;0;0;3;2;10;1.0;0.0;0.0;0.0;13.0;3.3333333333333335
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;Token;contract;17;10;6;6;6;0;0;10;0;0;0;2;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;Address;library;21;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;GnosisMath;library;258;147;95;16;25;7;7;28;113;0;0;0;0;3;14;1.5625;0.4375;0.4375;1.75;7.0625;0.875
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;2;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;itself;contract;52;42;4;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;DxMgnPool;contract;244;187;19;17;31;12;12;9;172;1;1;0;3;14;42;1.8235294117647058;0.7058823529411765;0.7058823529411765;0.5294117647058824;10.117647058823529;2.4705882352941178
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;1;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;MockInterface;interface;71;27;35;25;25;0;0;31;0;0;0;1;0;0;0;1.0;0.0;0.0;1.24;0.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;1;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;MockContract;contract;244;191;12;34;40;5;5;42;105;1;1;0;0;22;32;1.1764705882352942;0.14705882352941177;0.14705882352941177;1.2352941176470589;3.088235294117647;0.9411764705882353
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;SafeERC20;library;53;28;14;3;3;0;0;10;13;0;0;0;0;22;6;1.0;0.0;0.0;3.3333333333333335;4.333333333333333;2.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;Proxied;contract;3;3;0;0;0;0;0;0;0;0;0;2;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;TokenFRT;contract;128;70;35;11;13;2;2;15;76;2;4;0;0;10;11;1.1818181818181819;0.18181818181818182;0.18181818181818182;1.3636363636363635;6.909090909090909;1.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;IDutchExchange;contract;17;15;0;9;9;0;0;21;0;0;0;0;0;4;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;ERC20Mintable;contract;12;6;6;1;1;0;0;2;2;2;3;0;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
676c40ffeaa1cc611d1420a4fc2d20db5c8b9351_DxMgnPool.sol;67;Proxy;contract;25;21;3;1;1;0;0;0;9;1;1;0;0;0;0;1.0;0.0;0.0;0.0;9.0;0.0
