SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;Withdrawable;contract;18;8;8;2;2;0;0;3;2;1;1;2;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;ErrorReporter;contract;5;5;0;1;1;0;0;1;1;0;0;0;0;0;1;1.0;0.0;0.0;1.0;1.0;1.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;TokenTransferProxy;contract;91;61;19;4;6;2;2;6;19;1;1;0;0;2;2;1.5;0.5;0.5;1.5;4.75;0.5
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;Pausable;contract;45;24;15;3;3;0;0;0;20;1;1;2;0;1;0;1.0;0.0;0.0;0.0;6.666666666666667;0.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;ExchangeHandler;contract;210;152;50;4;4;0;0;6;14;2;5;0;1;1;4;1.0;0.0;0.0;1.5;3.5;1.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;ERC20;contract;30;22;0;7;7;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.4285714285714286;0.0;0.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;Affiliate;contract;30;22;2;4;4;0;0;4;8;0;0;0;0;4;3;1.0;0.0;0.0;1.0;2.0;0.75
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;AffiliateRegistry;contract;54;44;0;6;6;0;0;10;17;1;1;0;1;4;7;1.0;0.0;0.0;1.6666666666666667;2.8333333333333335;1.1666666666666667
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;TotlePrimary;contract;429;276;91;8;38;15;15;14;152;2;3;0;5;6;29;4.75;1.875;1.875;1.75;19.0;3.625
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;Utils;library;137;104;31;14;17;3;3;27;41;0;0;0;1;6;9;1.2142857142857142;0.21428571428571427;0.21428571428571427;1.9285714285714286;2.9285714285714284;0.6428571428571429
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;ERC20SafeTransfer;library;39;29;0;4;4;0;0;10;60;0;0;0;0;0;6;1.0;0.0;0.0;2.5;15.0;1.5
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;SelectorProvider;contract;8;7;0;1;1;0;0;1;0;0;0;1;0;22;0;1.0;0.0;0.0;1.0;0.0;0.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;TotleControl;contract;31;20;7;2;2;0;0;2;5;1;1;1;0;1;0;1.0;0.0;0.0;1.0;2.5;0.0
68a93cb6c0f92e56fa19cd78d4d670f3ea3d5020_TotlePrimary.sol;68;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;7;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
