SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;SafeMath;library;22;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;Ownable;contract;25;14;11;2;2;0;0;1;5;0;0;5;0;1;1;1.0;0.0;0.0;0.5;2.5;0.5
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;BurnableToken;contract;18;12;6;1;1;0;0;1;7;3;4;3;0;0;4;1.0;0.0;0.0;1.0;7.0;4.0
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;ReentrancyGuard;contract;20;9;11;0;0;0;0;0;4;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;StandardToken;contract;43;20;23;3;3;0;0;7;11;2;3;4;0;1;6;1.0;0.0;0.0;2.3333333333333335;3.6666666666666665;2.0
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;KuaiMintableToken;contract;58;56;4;4;8;3;3;6;28;5;9;1;0;3;9;2.0;0.75;0.75;1.5;7.0;2.25
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;Claimable;contract;24;14;10;2;2;0;0;1;5;1;1;4;0;1;0;1.0;0.0;0.0;0.5;2.5;0.0
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;BasicToken;contract;23;13;10;2;2;0;0;3;5;1;1;5;0;1;3;1.0;0.0;0.0;1.5;2.5;1.5
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;Operational;contract;14;14;0;2;2;0;0;2;5;2;2;3;0;1;1;1.0;0.0;0.0;1.0;2.5;0.5
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;DateTime;library;168;150;22;12;28;10;8;20;85;0;0;0;0;6;14;2.3333333333333335;0.8333333333333334;0.6666666666666666;1.6666666666666667;7.083333333333333;1.1666666666666667
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;KuaiToken;contract;10;10;0;1;1;0;0;2;0;6;10;0;1;6;0;1.0;0.0;0.0;2.0;0.0;0.0
68f739d1b2d3C9aBa9cA0496f6D246C15170EC4e_KuaiToken.sol;68;BonusToken;contract;16;16;0;2;3;1;1;3;3;4;8;2;0;3;1;1.5;0.5;0.5;1.5;1.5;0.5
