SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;1;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;DekzCoinCrowdsale;contract;49;36;3;8;8;0;0;8;15;1;2;0;2;1;9;1.0;0.0;0.0;1.0;1.875;1.125
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;StandardToken;contract;78;37;30;5;6;1;1;11;20;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
69ed072262c41b72b335df4b1a80d31513e0f00f_DekzCoinCrowdsale.sol;69;DekzCoin;contract;5;5;0;0;0;0;0;0;0;4;6;0;0;6;0;0.0;0.0;0.0;0.0;0.0;0.0
