SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;7;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;ERC20Mintable;contract;12;6;6;1;1;0;0;2;2;2;3;2;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;FreezableMintableToken;contract;23;12;9;1;1;0;0;3;8;3;5;1;0;0;5;1.0;0.0;0.0;3.0;8.0;5.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;MediciToken;contract;2;2;0;0;0;0;0;0;0;4;8;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;5;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;FreezableToken;contract;167;104;38;10;19;6;6;13;85;2;2;2;0;3;17;1.9;0.6;0.6;1.3;8.5;1.7
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
6c03c5d1e019f9c909d23c29a6bcfd851e3be61d_MediciToken.sol;6c;ERC20Burnable;contract;18;8;9;2;2;0;0;3;2;2;2;1;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
