SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;4;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;Recoverable;contract;19;10;6;2;2;0;0;2;2;1;1;2;1;0;2;1.0;0.0;0.0;1.0;1.0;1.0
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;2;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;StandardToken;contract;115;64;42;5;6;1;1;11;22;2;3;1;0;1;7;1.2;0.2;0.2;2.2;4.4;1.4
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;Ownable;contract;45;24;14;2;2;0;0;1;8;0;0;3;0;1;2;1.0;0.0;0.0;0.5;4.0;1.0
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;SaleVault;contract;172;92;40;8;12;4;3;4;46;2;2;0;2;9;12;1.5;0.5;0.375;0.5;5.75;1.5
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;SafeMath;library;41;22;15;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
72f978634b21777866cab988e5949899be4df10b_SaleVault.sol;72;StandardTokenExt;contract;7;5;1;1;1;0;0;0;1;3;6;0;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0
