SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;DncToken;contract;76;71;4;9;9;0;0;9;16;5;12;0;0;3;11;1.0;0.0;0.0;1.0;1.7777777777777777;1.2222222222222223
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;Roles;library;33;23;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;ERC20Burnable;contract;19;10;9;2;2;0;0;3;4;3;5;1;0;0;4;1.0;0.0;0.0;1.5;2.0;2.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;PauserRole;contract;30;30;0;5;5;0;0;4;10;0;0;6;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;IERC20;interface;21;21;0;6;6;0;0;10;0;0;0;7;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;ERC20Detailed;contract;28;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;ERC20Pausable;contract;53;53;0;5;5;0;0;11;5;2;4;4;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;SafeMath;library;49;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;Ownable;contract;60;33;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;MinterRole;contract;30;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;ERC20Mintable;contract;18;12;6;2;2;0;0;4;4;3;6;2;0;0;2;1.0;0.0;0.0;2.0;2.0;1.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;Pausable;contract;42;27;15;3;3;0;0;0;10;1;1;5;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;ERC20;contract;184;101;80;12;12;0;0;23;43;1;1;5;0;3;26;1.0;0.0;0.0;1.9166666666666667;3.5833333333333335;2.1666666666666665
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;ERC20Capped;contract;24;21;3;3;3;0;0;4;8;4;7;1;0;1;5;1.0;0.0;0.0;1.3333333333333333;2.6666666666666665;1.6666666666666667
7323cb1288cde81500e744234a487c642823aa24_DncToken.sol;73;ReentrancyGuard;contract;22;12;10;0;0;0;0;0;5;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
