SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;WirebitsTipJar;contract;71;62;0;3;3;0;0;5;14;1;1;0;1;3;5;1.0;0.0;0.0;1.6666666666666667;4.666666666666667;1.6666666666666667
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;Ownable;contract;53;27;18;3;3;0;0;2;9;0;0;5;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;1;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;PausableToken;contract;58;53;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;StandardToken;contract;114;63;42;5;6;1;1;11;21;2;3;3;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;WirebitsToken;contract;11;10;0;0;0;0;0;0;5;4;8;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
7549f3a0e047cc82907ce118131d81a1adac4e53_WirebitsTipJar.sol;75;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;4;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
