SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;SafeMath;library;25;21;2;4;4;0;0;8;11;0;0;0;0;0;4;1.0;0.0;0.0;2.0;2.75;1.0
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;Destructible;contract;15;9;3;3;3;0;0;1;2;1;1;1;0;0;2;1.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.6666666666666666
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;SalPay;contract;20;15;2;2;2;0;0;0;6;4;8;0;1;5;1;1.0;0.0;0.0;0.0;3.0;0.5
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;ERC20Basic;contract;7;7;0;2;2;0;0;3;0;0;0;4;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;BasicToken;contract;34;16;11;2;2;0;0;3;8;2;4;2;0;1;5;1.0;0.0;0.0;1.5;4.0;2.5
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;3;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;StandardToken;contract;74;37;28;5;6;1;1;11;22;3;6;1;0;1;11;1.2;0.2;0.2;2.2;4.4;2.2
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;Ownable;contract;34;16;11;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
75c5ee419331b6150879530d06f9ba054755f1da_SalPay.sol;75;UserTokensControl;contract;15;14;1;0;0;0;0;0;5;1;1;3;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0
