SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;Destructible;contract;15;9;3;3;3;0;0;1;2;1;1;0;0;0;2;1.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.6666666666666666
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;VanityToken;contract;51;41;2;2;5;2;2;2;21;4;8;0;1;13;15;2.5;1.0;1.0;1.0;10.5;7.5
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;5;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;ICrowdsale;contract;8;6;0;2;2;0;0;1;0;0;0;0;0;2;0;1.0;0.0;0.0;0.5;0.0;0.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;StandardToken;contract;78;37;30;5;6;1;1;11;20;2;3;4;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;2;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
7777777189c4e413bbe6ea9df6c2b4f34f53cdd3_VanityToken.sol;77;MintableMasterToken;contract;37;23;6;3;3;0;0;3;11;4;6;0;0;1;3;1.0;0.0;0.0;1.0;3.6666666666666665;1.0
