SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;TokenController;contract;23;6;15;3;3;0;0;7;0;0;0;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;ApproveAndCallFallBack;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;LPVault;interface;4;4;0;2;2;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;1.5;0.0;0.0
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;Controlled;contract;15;8;4;2;2;0;0;1;4;0;0;1;0;1;0;1.0;0.0;0.0;0.5;2.0;0.0
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;LPPDacs;contract;224;162;30;12;15;2;2;40;44;2;3;0;3;4;22;1.25;0.16666666666666666;0.16666666666666666;3.3333333333333335;3.6666666666666665;1.8333333333333333
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;ERC20;contract;24;10;6;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;Escapable;contract;78;39;31;5;6;1;1;6;19;1;1;3;1;3;6;1.2;0.2;0.2;1.2;3.8;1.2
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;MiniMeToken;contract;483;234;186;21;40;14;14;44;112;1;1;0;2;13;46;1.9047619047619047;0.6666666666666666;0.6666666666666666;2.0952380952380953;5.333333333333333;2.1904761904761907
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;MiniMeTokenFactory;contract;34;22;10;1;1;0;0;6;3;0;0;0;1;0;2;1.0;0.0;0.0;6.0;3.0;2.0
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;LiquidPledging;contract;784;471;224;24;54;19;17;59;185;3;3;0;0;1;95;2.25;0.7916666666666666;0.7083333333333334;2.4583333333333335;7.708333333333333;3.9583333333333335
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;Owned;contract;70;38;20;5;5;0;0;3;19;0;0;4;0;2;7;1.0;0.0;0.0;0.6;3.8;1.4
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;ILiquidPledgingPlugin;contract;57;15;40;2;2;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;5.0;0.0;0.0
79bddecb728afda275923998701bac34d277fb19_LPPDacs.sol;79;LiquidPledgingBase;contract;563;316;197;27;42;11;11;57;130;2;2;1;2;10;52;1.5555555555555556;0.4074074074074074;0.4074074074074074;2.111111111111111;4.814814814814815;1.9259259259259258
